,TOP_CHARGE,count,top_charge_level,gun_license,gun_case
201,MFG/DEL 1<15 GR COCAINE/ANLG,2,,,
202,MFG/DEL HEROIN/SCH/PUB HS/PK,2,,,
203,OBSTRUCT JUST/DESTROY EVIDENCE,2,,,
204,PCS - MFG/DEL 50-200 GR SCHED,2,,,
205,PCS - POSSESS 15<100 GRAMS COC,2,,,
206,PCS - POSSESSION - 15>100 GR E,2,,,
207,POSS CAN/>100-500 GRAM/1ST,2,,,
208,POSS CONCEALED CARRY FIREARM WHILE INTOXICATED,2,,,
209,POSS FIREARM/VEHICLE/GANG MBR,2,,,
210,POSSESS 15<100 GRAMS COCAINE,2,,,
211,RECEIVE/POSS/SELL STOLEN VEH,2,,,
212,RIFLE<16IN/SHOTGUN<18IN/SCH/PK,2,,,
213,THEFT/CONTROL/PERSON<$500,2,,,
214,UNLAWFUL POSS OF A WEAPON,2,,,
215,UNLAWFUL POSS WEAPON BY FELON,2,,,
216,UNLAWFUL POSSESSION OF A FIREARM,2,,,
217,UNLAWFUL POSSESSION OF A WEAPON BY FELON,2,,,
218,UNLWFL POSS FIREARM/DEL/<21,2,,,
219,UNLWFL POSS FIREARM/EXPL BULL,2,,,
220,UNLWFL POSS HANDGUN UNDER 18,2,,,
221,UUW -  WEAPON - BOMB/GRENADE/M,2,,,
222,UUW -  WEAPON - PUBLIC STREET/ALLEY/LAND,2,,,
223,UUW -  WEAPON - TEAR GAS/LIQUI,2,,,
224,UUW - WEAPON - RIFLE<16IN SHOT,2,,,
225,100<400 GRAMS LSD/ANALOG,1,,,
226,AGG  UNLAWFUL USE OF A WEAPON/LOADED,1,,,
227,AGG  UNLAWFUL USE OF WEAPON,1,,,
228,AGG  UUW NO FOID,1,,,
229,AGG - UNLAWFUL POSSESS WEAPON,1,,,
230,"AGG ASLT/USE DDLY WEAPON,KNIFE, AIR RIFLE",1,,,
231,AGG ASSAULT VOLUNTEER W/ WEAPO,1,,,
232,AGG ASSAULT/ USE OF DEADLY WEAPON,1,,,
233,AGG ASSAULT/DISCHARGE FIREARM,1,,,
234,AGG ASSAULT/SHINE FLASH/LASER,1,,,
235,AGG ASSAULT/USE DEADLY WEAPON - L1463377,1,,,
236,AGG ASSAULT/USE DEADLY WEAPON - L1523503,1,,,
237,AGG ASSAULT/USE DEADLY WEAPON - L1526327,1,,,
238,AGG ASSAULT/USE DEADLY WEAPON - L1535761,1,,,
239,AGG ASSAULT/USE DEADLY WEAPON x2,1,,,
240,AGG ASSAULT/USE FIR/PEACE OFF,1,,,
241,AGG BATT/HARM/POLICE/DOC/DHS,1,,,
242,AGG BATTERY/WEAPON/NO FIREARM,1,,,
243,AGG BTRY/GREAT BOD HARM/PC OFF,1,,,
244,AGG BTRY/PREGNANT/HANDICAPPED,1,,,
245,AGG DISCHARGE FIREARM/OCC BLDG,1,,,
246,AGG DISCHARGE FIREARM/OCC VEH,1,,,
247,AGG DOMESTIC BATTER/STRANGLE,1,,,
248,AGG DUI/3,1,,,
249,AGG FLEEING POLICE/2ND,1,,,
250,AGG FLEEING/2+ CON DEVICES,1,,,
251,AGG POSSESSION OF A WEAPON,1,,,
252,AGG POSSESSION STOLEN MOTOR VE,1,,,
253,AGG UNLAW POSS OF WEAPON VEH-NO FOID,1,,,
254,AGG UNLAW USE OF WEAPON,1,,,
255,AGG UNLAWFUL POSS OF A WEAPON - UNDER 21 YRS OLD,1,,,
256,AGG UNLAWFUL POSS WEAPON,1,,,
257,AGG UNLAWFUL POSSESS OF WEAPON,1,,,
